surname,district,name,party,position_set,position,start_year
โล่ห์สุนทร,ลำปาง,ธนาธร,พรรคพลังประชาชน,23,ส.ส.,2550
โล่ห์สุนทร,ลำปาง,ตวงรัตน์,พรรคเพื่อไทย,24,ส.ส.,2554
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคชาติพัฒนา,50,ครม.,2535
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคชาติพัฒนา,52,ครม.,2539
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคชาติพัฒนา,53,ครม.,2540
วงศ์วรรณ,ลำพูน,อนุสรณ์,พรรคเพื่อไทย,,นายก อบจ.,2563
วงศ์วรรณ,ลำพูน,อนุสรณ์,พรรคสามัคคีธรรม,17,ส.ส.,2535
วงศ์วรรณ,ลำพูน,อนุสรณ์,พรรคชาติพัฒนา,20,ส.ส.,2539
วงศ์วรรณ,ลำพูน,อนุสรณ์,พรรคพลังประชาชน,23,ส.ส.,2550
วงศ์วรรณ,ลำพูน,ณรงค์,พรรคสามัคคีธรรม,48,ครม.,2535
วงศ์วรรณ,ลำพูน,อนุสรณ์,อิสระ,51,ครม.,2538
วงศ์วรรณ,ลำพูน,อนุสรณ์,พรรคชาติพัฒนา,53,ครม.,2540
วงศ์วรรณ,ลำพูน,อนุสรณ์,พรรคพลังประชาชน,57,ครม.,2551
วงศ์วรรณ,ลำพูน,อนุสรณ์,พรรคพลังประชาชน,57,ครม.,2551
วรามิตร,กาฬสินธุ์,ชานุวัฒน์,พรรคพลังประชารัฐ,,นายก อบจ.,2563
วรามิตร,กาฬสินธุ์,ภัทรา,พรรคไทยรักไทย,22,ส.ส.,2548
ตั้งวานิชกพงษ์,ขอนแก่น,พงษ์ศักดิ์,พรรคเพื่อไทย,,นายก อบจ.,2563
ตั้งวานิชกพงษ์,ขอนแก่น,พงษ์ศักดิ์,พรรคเพื่อไทย,,นายก/รองนายก อบจ.,2555
ตั้งวานิชกพงษ์,ขอนแก่น,อนุชา,,,ส. อบจ.,2555
โล่ห์วีระ,ชัยภูมิ,อร่าม,พรรคประชาธิปัตย์,,นายก อบจ.,2563
โล่ห์วีระ,ชัยภูมิ,อร่าม,พรรคชาติไทย,17,ส.ส.,2535
โล่ห์วีระ,ชัยภูมิ,อร่าม,พรรคชาติไทย,18,ส.ส.,2535
โล่ห์วีระ,ชัยภูมิ,อร่าม,พรรคชาติไทย,19,ส.ส.,2538
โล่ห์วีระ,ชัยภูมิ,อร่าม,พรรคความหวังใหม่,20,ส.ส.,2539
โล่ห์วีระ,ชัยภูมิ,อร่าม,พรรคความหวังใหม่,52,ครม.,2539
โพธิ์สุ,นครพนม,ศุภพานี,พรรคภูมิใจไทย,,นายก อบจ.,2563
โพธิ์สุ,นครพนม,ศุภชัย,พรรคภูมิใจไทย,25,ส.ส.,2562
โพธิ์สุ,นครพนม,ศุภชัย,พรรคความหวังใหม่,21,ส.ส.,2544
โพธิ์สุ,นครพนม,ศุภชัย,พรรคไทยรักไทย,22,ส.ส.,2548
โพธิ์สุ,นครพนม,ศุภชัย,พรรคพลังประชาชน,23,ส.ส.,2550
โพธิ์สุ,นครพนม,ศุภชัย,พรรคภูมิใจไทย,59,ครม.,2551
หวังศุภกิจโกศล,นครราชสีมา,ยลดา,พรรคภูมิใจไทย,,นายก อบจ.,2563
หวังศุภกิจโกศล,นครราชสีมา,จิตรวรรณ,พรรคเพื่อแผ่นดิน,23,ส.ส.,2550
หวังศุภกิจโกศล,นครราชสีมา,วีรศักดิ์,พรรคภูมิใจไทย,25,ส.ส.,2562
หวังศุภกิจโกศล,นครราชสีมา,วีรศักดิ์,พรรคภูมิใจไทย,62,ครม.,2562
ทองศรี,บึงกาฬ,แว่นฟ้า,พรรคภูมิใจไทย,,นายก อบจ.,2563
ทองศรี,บึงกาฬ,ทรงศักดิ์,พรรคภูมิใจไทย,25,ส.ส.,2562
ทองศรี,บึงกาฬ,ทรงศักดิ์,พรรคภูมิใจไทย,62,ครม.,2562
ทองศรี,บึงกาฬ,เพิ่มพูน,พรรคภูมิใจไทย,22,ส.ส.,2548
ทองศรี,บึงกาฬ,เพิ่มพูน,พรรคพลังประชาชน,22,ส.ส.,2548
ทองศรี,บึงกาฬ,ทรงศักดิ์,พรรคพลังประชาชน,57,ครม.,2551
เล็กอุดากร,บุรีรัมย์,ภูษิต,พรรคภูมิใจไทย,,นายก อบจ.,2563
เล็กอุดากร,บุรีรัมย์,ภูษิต,,,ส. อบจ.,2555
อุดรพิมพ์,มหาสารคาม,คมคาย,พรรคภูมิใจไทย,,นายก อบจ.,2563
อุดรพิมพ์,มหาสารคาม,คมคาย,พรรคภูมิใจไทย,,นายก/รองนายก อบจ.,2555
ศรีโยหะ มุกดาธนพงศ์,มุกดาหาร,จิตต์,พรรคเพื่อไทย,,นายก อบจ.,2563
สมวงศ์,ยโสธร,วิเชียร,พรรคเพื่อไทย,,นายก อบจ.,2563
สมวงศ์,ยโสธร,บุญแก้ว,พรรคเพื่อไทย,25,ส.ส.,2562
สมวงศ์,ยโสธร,วิเชียร,,,ส. อบจ.,2555
สมวงศ์,ยโสธร,บุญแก้ว,พรรคเพื่อไทย,24,ส.ส.,2554
พลซื่อ,ร้อยเอ็ด,เอกภาพ,พรรคพลังประชารัฐ,,นายก อบจ.,2563
พลซื่อ,ร้อยเอ็ด,เอกภาพ,พรรคเอกภาพ,18,ส.ส.,2535
พลซื่อ,ร้อยเอ็ด,เอกภาพ,พรรคเสรีธรรม,19,ส.ส.,2538
พลซื่อ,ร้อยเอ็ด,เอกภาพ,พรรคเสรีธรรม,20,ส.ส.,2539
พลซื่อ,ร้อยเอ็ด,เอกภาพ,พรรคเสรีธรรม,21,ส.ส.,2544
พลซื่อ,ร้อยเอ็ด,เอกภาพ,พรรคไทยรักไทย,22,ส.ส.,2548
พลซื่อ,ร้อยเอ็ด,นพดล,พรรคเพื่อแผ่นดิน,23,ส.ส.,2550
พลซื่อ,ร้อยเอ็ด,รัชนี,พรรคเพื่อแผ่นดิน,23,ส.ส.,2550
ทิมสุวรรณ,เลย,ธนาวุฒิ,พรรคภูมิใจไทย,,นายก อบจ.,2563
ทิมสุวรรณ,เลย,ศรัณย์,พรรคเพื่อไทย,25,ส.ส.,2562
ทิมสุวรรณ,เลย,ธนยศ,พรรคภูมิใจไทย,25,ส.ส.,2562
ทิมสุวรรณ,เลย,ธนาวุฒิ,พรรคภูมิใจไทย,,นายก/รองนายก อบจ.,2555
ทิมสุวรรณ,เลย,ธนเทพ,พรรคความหวังใหม่,20,ส.ส.,2539
ทิมสุวรรณ,เลย,ธนเทพ,พรรคไทยรักไทย,21,ส.ส.,2544
ทิมสุวรรณ,เลย,นันทนา,พรรคไทยรักไทย,22,ส.ส.,2548
ทิมสุวรรณ,เลย,นันทนา,พรรคพลังประชาชน,23,ส.ส.,2550
ทิมสุวรรณ,เลย,นันทนา,พรรคเพื่อไทย,24,ส.ส.,2554
ทิมสุวรรณ,เลย,ธนเทพ,พรรคเพื่อไทย,22,ส.ส.,2548
ทิมสุวรรณ,เลย,ธนเทพ,พรรคพลังประชาชน,22,ส.ส.,2548
ทิมสุวรรณ,เลย,ธนเทพ,พรรคเพื่อไทย,24,ส.ส.,2554
ไชยรบ,สกลนคร,ชัยมงคล,พรรคพลังประชารัฐ,,นายก อบจ.,2563
ไชยรบ,สกลนคร,ชัยมงคล,พรรคพลังประชารัฐ,,นายก/รองนายก อบจ.,2555
มุ่งเจริญพร,สุรินทร์,พรชัย,พรรคภูมิใจไทย,,นายก อบจ.,2563
มุ่งเจริญพร,สุรินทร์,ปกรณ์,พรรคภูมิใจไทย,25,ส.ส.,2562
มุ่งเจริญพร,สุรินทร์,ธัญพร,,,ส. อบจ.,2555
มุ่งเจริญพร,สุรินทร์,ชูชัย,พรรคกิจสังคม,17,ส.ส.,2535
มุ่งเจริญพร,สุรินทร์,ชูชัย,พรรคกิจสังคม,18,ส.ส.,2535
มุ่งเจริญพร,สุรินทร์,ชูชัย,พรรคกิจสังคม,19,ส.ส.,2538
มุ่งเจริญพร,สุรินทร์,ชูชัย,พรรคไทยรักไทย,21,ส.ส.,2544
มุ่งเจริญพร,สุรินทร์,ชูชัย,พรรคไทยรักไทย,22,ส.ส.,2548
มุ่งเจริญพร,สุรินทร์,ปกรณ์,พรรคมัชฌิมาธิปไตย,23,ส.ส.,2550
มุ่งเจริญพร,สุรินทร์,ปกรณ์,พรรคภูมิใจไทย,24,ส.ส.,2554
มุ่งเจริญพร,สุรินทร์,ปิยะดา,พรรคเพื่อไทย,24,ส.ส.,2554
ไตรสรณกุล,ศรีสะเกษ,วิชิต,พรรคพลังประชารัฐ,,นายก อบจ.,2563
ไตรสรณกุล,ศรีสะเกษ,ธีระ,พรรคเพื่อไทย,25,ส.ส.,2562
ไตรสรณกุล,ศรีสะเกษ,วิชิต,พรรคพลังประชารัฐ,,นายก/รองนายก อบจ.,2555
ไตรสรณกุล,ศรีสะเกษ,ธีระ,พรรคพลังประชาชน,23,ส.ส.,2550
ไตรสรณกุล,ศรีสะเกษ,ธีระ,พรรคเพื่อไทย,24,ส.ส.,2554
ศรีตะบุตร,หนองคาย,ยุทธนา,พรรคพลังประชารัฐ,,นายก อบจ.,2563
ศรีตะบุตร,หนองคาย,ยุทธนา,พรรคพลังประชารัฐ,,นายก/รองนายก อบจ.,2555
ศรีตะบุตร,หนองคาย,จินตนา,,,ส. อบจ.,2555
ศรีตะบุตร,หนองคาย,ลำดวน,,,ส. อบจ.,2555
ศรีตะบุตร,หนองคาย,ปภาสิริ,,,ส. อบจ.,2555
ศรีตะบุตร,หนองคาย,พิทักษ์,พรรคความหวังใหม่,18,ส.ส.,2535
ศรีตะบุตร,หนองคาย,พิทักษ์,พรรคความหวังใหม่,19,ส.ส.,2538
ศรีตะบุตร,หนองคาย,พิทักษ์,พรรคความหวังใหม่,20,ส.ส.,2539
ศิริสถิตย์,หนองบัวลำภู,วุฒิพงษ์,พรรคภูมิใจไทย,,นายก อบจ.,2563
ขาวขำ,อุดรธานี,วิเชียร,พรรคเพื่อไทย,,นายก อบจ.,2563
ขาวขำ,อุดรธานี,เทียบจุฑา,พรรคเพื่อไทย,25,ส.ส.,2562
ขาวขำ,อุดรธานี,วิเชียร,พรรคเพื่อไทย,,นายก/รองนายก อบจ.,2555
ขาวขำ,อุดรธานี,สุชัมบดี,,,ส. อบจ.,2555
ขาวขำ,อุดรธานี,วิเชียร,พรรคชาติไทย,17,ส.ส.,2535
ขาวขำ,อุดรธานี,วิเชียร,พรรคชาติพัฒนา,18,ส.ส.,2535
ขาวขำ,อุดรธานี,วิเชียร,พรรคกิจสังคม,19,ส.ส.,2538
ขาวขำ,อุดรธานี,วิเชียร,พรรคพลังประชาชน,23,ส.ส.,2550
ขาวขำ,อุดรธานี,เทียบจุฑา,พรรคเพื่อไทย,24,ส.ส.,2554
ขาวขำ,อุดรธานี,วิเชียร,พรรคเพื่อไทย,24,ส.ส.,2554
กัลป์ตินันท์,อุบลราชธานี,กานต์,พรรคเพื่อไทย,,นายก อบจ.,2563
กัลป์ตินันท์,อุบลราชธานี,วรสิทธิ์,พรรคเพื่อไทย,25,ส.ส.,2562
กัลป์ตินันท์,อุบลราชธานี,เกรียง,พรรคประชาธิปัตย์,19,ส.ส.,2538
กัลป์ตินันท์,อุบลราชธานี,เกรียง,พรรคความหวังใหม่,20,ส.ส.,2539
กัลป์ตินันท์,อุบลราชธานี,เกรียง,พรรคไทยรักไทย,21,ส.ส.,2544
กัลป์ตินันท์,อุบลราชธานี,เกรียง,พรรคไทยรักไทย,22,ส.ส.,2548
กัลป์ตินันท์,อุบลราชธานี,วรสิทธิ์,พรรคพลังประชาชน,23,ส.ส.,2550
กัลป์ตินันท์,อุบลราชธานี,วรสิทธิ์,พรรคเพื่อไทย,24,ส.ส.,2554
กัลป์ตินันท์,อุบลราชธานี,กานต์,พรรคเพื่อไทย,24,ส.ส.,2554
ตั้งสกุล,อำนาจเจริญ,วันเพ็ญ,พรรคภูมิใจไทย,,นายก อบจ.,2563
รัตนากร,กำแพงเพชร,สุนทร,พรรคพลังประชารัฐ,,นายก อบจ.,2563
รัตนากร,กำแพงเพชร,สุนทร,พรรคพลังประชารัฐ,,นายก/รองนายก อบจ.,2555
รัตนากร,กำแพงเพชร,วราเทพ,พรรคสามัคคีธรรม,17,ส.ส.,2535
รัตนากร,กำแพงเพชร,วราเทพ,พรรคชาติไทย,18,ส.ส.,2535
รัตนากร,กำแพงเพชร,วราเทพ,พรรคชาติไทย,19,ส.ส.,2538
รัตนากร,กำแพงเพชร,วราเทพ,พรรคความหวังใหม่,20,ส.ส.,2539
รัตนากร,กำแพงเพชร,วราเทพ,พรรคไทยรักไทย,21,ส.ส.,2544
รัตนากร,กำแพงเพชร,วราเทพ,,54,ครม.,2544
รัตนากร,กำแพงเพชร,วราเทพ,พรรคไทยรักไทย,55,ครม.,2548
รัตนากร,กำแพงเพชร,วราเทพ,,60,ครม.,2554
รัตนากร,กำแพงเพชร,วราเทพ,,60,ครม.,2554
นาคาศัย,ชัยนาท,อนุสรณ์,พรรคพลังประชารัฐ,,นายก อบจ.,2563
นาคาศัย,ชัยนาท,อนุชา,พรรคพลังประชารัฐ,25,ส.ส.,2562
นาคาศัย,ชัยนาท,อนุสรณ์,พรรคพลังประชารัฐ,,นายก/รองนายก อบจ.,2555
นาคาศัย,ชัยนาท,อนุชา,พรรคไทยรักไทย,21,ส.ส.,2544
นาคาศัย,ชัยนาท,อนุชา,พรรคไทยรักไทย,22,ส.ส.,2548
นาคาศัย,ชัยนาท,พรทิวา,พรรคภูมิใจไทย,23,ส.ส.,2550
นาคาศัย,ชัยนาท,พรทิวา,พรรคภูมิใจไทย,24,ส.ส.,2554
นาคาศัย,ชัยนาท,อนุชา,พรรคพลังประชารัฐ,62,ครม.,2562
นาคาศัย,ชัยนาท,พรทิวา,พรรคภูมิใจไทย,59,ครม.,2551
จินตนาพากานนท์,นครนายก,จักรพันธ์,อิสระ,,นายก อบจ.,2563
สะสมทรัพย์,นครปฐม,จิรวัฒน์,พรรคชาติไทยพัฒนา,,นายก อบจ.,2563
สะสมทรัพย์,นครปฐม,พาณุวัฒณ์,พรรคชาติไทยพัฒนา,25,ส.ส.,2562
สะสมทรัพย์,นครปฐม,เผดิมชัย,พรรคชาติไทยพัฒนา,25,ส.ส.,2562
สะสมทรัพย์,นครปฐม,ไชยยศ,พรรคเอกภาพ,18,ส.ส.,2535
สะสมทรัพย์,นครปฐม,เผดิมชัย,พรรคเอกภาพ,18,ส.ส.,2535
สะสมทรัพย์,นครปฐม,ไชยยศ,พรรคเอกภาพ,19,ส.ส.,2538
สะสมทรัพย์,นครปฐม,ไชยา,พรรคเอกภาพ,19,ส.ส.,2538
สะสมทรัพย์,นครปฐม,เผดิมชัย,พรรคเอกภาพ,20,ส.ส.,2539
สะสมทรัพย์,นครปฐม,ไชยา,พรรคเอกภาพ,20,ส.ส.,2539
สะสมทรัพย์,นครปฐม,ไชยยศ,พรรคเอกภาพ,20,ส.ส.,2539
สะสมทรัพย์,นครปฐม,ไชยา,พรรคไทยรักไทย,21,ส.ส.,2544
สะสมทรัพย์,นครปฐม,เผดิมชัย,พรรคไทยรักไทย,21,ส.ส.,2544
สะสมทรัพย์,นครปฐม,ไชยา,พรรคไทยรักไทย,22,ส.ส.,2548
สะสมทรัพย์,นครปฐม,เผดิมชัย,พรรคไทยรักไทย,22,ส.ส.,2548
สะสมทรัพย์,นครปฐม,อนุชา,พรรคพลังประชาชน,23,ส.ส.,2550
สะสมทรัพย์,นครปฐม,เผดิมชัย,พรรคพลังประชาชน,23,ส.ส.,2550
สะสมทรัพย์,นครปฐม,อนุชา,พรรคเพื่อไทย,24,ส.ส.,2554
สะสมทรัพย์,นครปฐม,เผดิมชัย,พรรคเพื่อไทย,24,ส.ส.,2554
สะสมทรัพย์,นครปฐม,ไชยยศ,พรรคไทยรักไทย,21,ส.ส.,2544
สะสมทรัพย์,นครปฐม,ไชยา,พรรคพลังประชาชน,22,ส.ส.,2548
สะสมทรัพย์,นครปฐม,ไชยยศ,พรรคเอกภาพ,50,ครม.,2535
สะสมทรัพย์,นครปฐม,ไชยยศ,พรรคเอกภาพ,53,ครม.,2540
สะสมทรัพย์,นครปฐม,เผดิมชัย,พรรคเอกภาพ,53,ครม.,2540
สะสมทรัพย์,นครปฐม,ไชยา,พรรคเอกภาพ,53,ครม.,2540
สะสมทรัพย์,นครปฐม,ไชยยศ,พรรคไทยรักไทย,55,ครม.,2548
สะสมทรัพย์,นครปฐม,ไชยา,พรรคพลังประชาชน,57,ครม.,2551
สะสมทรัพย์,นครปฐม,ไชยา,พรรคพลังประชาชน,57,ครม.,2551
สะสมทรัพย์,นครปฐม,ไชยา,,58,ครม.,2551
สะสมทรัพย์,นครปฐม,เผดิมชัย,,60,ครม.,2554
จันทะพิงค์,นครสวรรค์,พล.ต.อ.สมศักดิ์,พรรคเพื่อไทย,,นายก อบจ.,2563
เย็นประเสริฐ,นนทบุรี,พ.ต.อ.ธงชัย,พรรคเพื่อไทย,,นายก อบจ.,2563
เย็นประเสริฐ,นนทบุรี,ธงชัย,พรรคเพื่อไทย,,นายก/รองนายก อบจ.,2555
ธูปกระจ่าง,ปทุมธานี,พล.ต.ท.คำรณวิทย์,พรรคเพื่อไทย,,นายก อบจ.,2563
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,สมทรง,พรรคภูมิใจไทย,,นายก อบจ.,2563
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,สุรศักดิ์,พรรคภูมิใจไทย,25,ส.ส.,2562
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,สมทรง,พรรคภูมิใจไทย,,นายก/รองนายก อบจ.,2555
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,พงศ์ปณต,,,ส. อบจ.,2555
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,สุวิมล,พรรคไทยรักไทย,21,ส.ส.,2544
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,สุวิมล,พรรคไทยรักไทย,22,ส.ส.,2548
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,สุรศักดิ์,พรรคพลังประชาชน,23,ส.ส.,2550
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,สุรศักดิ์,พรรคเพื่อไทย,24,ส.ส.,2554
ภัทรประสิทธิ์,พิจิตร,พ.ต.อ.กฤษฎา,พรรคเพื่อไทย,,นายก อบจ.,2563
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,พรรคประชาธิปัตย์,19,ส.ส.,2538
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,พรรคประชาธิปัตย์,20,ส.ส.,2539
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,พรรคประชาธิปัตย์,21,ส.ส.,2544
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,พรรคประชาธิปัตย์,22,ส.ส.,2548
ภัทรประสิทธิ์,พิจิตร,วินัย,พรรครวมชาติพัฒนา,23,ส.ส.,2550
ภัทรประสิทธิ์,พิจิตร,วินัย,พรรคชาติไทยพัฒนา,24,ส.ส.,2554
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,พรรคชาติไทยพัฒนา,24,ส.ส.,2554
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,พรรคประชาธิปัตย์,53,ครม.,2540
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,พรรครวมใจไทยชาติพัฒนา,57,ครม.,2551
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,,58,ครม.,2551
ภัทรประสิทธิ์,พิจิตร,ประดิษฐ์,พรรครวมใจไทยชาติพัฒนา,59,ครม.,2551
วิวัฒน์ธนาฒย์,พิษณุโลก,มนต์ชัย,พรรคพลังประชารัฐ,,นายก อบจ.,2563
วิวัฒน์ธนาฒย์,พิษณุโลก,มนต์ชัย,พรรคพลังประชารัฐ,,นายก/รองนายก อบจ.,2555
วิวัฒน์ธนาฒย์,พิษณุโลก,มนต์ชัย,พรรคไทยรักไทย,22,ส.ส.,2548
วิวัฒน์ธนาฒย์,พิษณุโลก,มนต์ชัย,พรรคพลังประชาชน,23,ส.ส.,2550
ทองใจสด,เพชรบูรณ์,อัครเดช,พรรคพลังประชารัฐ,,นายก อบจ.,2563
ทองใจสด,เพชรบูรณ์,เอี่ยม,พรรคพลังประชารัฐ,25,ส.ส.,2562
ทองใจสด,เพชรบูรณ์,อัครเดช,พรรคพลังประชารัฐ,,นายก/รองนายก อบจ.,2555
ทองใจสด,เพชรบูรณ์,เทียนทอง,,,ส. อบจ.,2555
ทองใจสด,เพชรบูรณ์,เอี่ยม,พรรคชาติไทย,17,ส.ส.,2535
ทองใจสด,เพชรบูรณ์,เอี่ยม,พรรคชาติไทย,18,ส.ส.,2535
ทองใจสด,เพชรบูรณ์,เอี่ยม,พรรคชาติไทย,19,ส.ส.,2538
ทองใจสด,เพชรบูรณ์,เอี่ยม,พรรคความหวังใหม่,20,ส.ส.,2539
ทองใจสด,เพชรบูรณ์,เอี่ยม,พรรคไทยรักไทย,22,ส.ส.,2548
ทองใจสด,เพชรบูรณ์,เอี่ยม,พรรคพลังประชาชน,23,ส.ส.,2550
ทองใจสด,เพชรบูรณ์,เอี่ยม,พรรคเพื่อไทย,24,ส.ส.,2554
จิระพันธุ์วาณิช,ลพบุรี,อรพิน,พรรคภูมิใจไทย,,นายก อบจ.,2563
จิระพันธุ์วาณิช,ลพบุรี,มัลลิกา,พรรคภูมิใจไทย,25,ส.ส.,2562
จิระพันธุ์วาณิช,ลพบุรี,อรพิน,พรรคภูมิใจไทย,,นายก/รองนายก อบจ.,2555
จิระพันธุ์วาณิช,ลพบุรี,กมล,พรรคชาติไทย,17,ส.ส.,2535
จิระพันธุ์วาณิช,ลพบุรี,กมล,พรรคชาติไทย,18,ส.ส.,2535
จิระพันธุ์วาณิช,ลพบุรี,กมล,พรรคชาติไทย,20,ส.ส.,2539
จิระพันธุ์วาณิช,ลพบุรี,กมล,พรรคชาติไทย,21,ส.ส.,2544
จิระพันธุ์วาณิช,ลพบุรี,กมล,พรรคชาติไทย,23,ส.ส.,2550
จิระพันธุ์วาณิช,ลพบุรี,มัลลิกา,พรรคชาติไทยพัฒนา,23,ส.ส.,2550
จิระพันธุ์วาณิช,ลพบุรี,มัลลิกา,พรรคภูมิใจไทย,24,ส.ส.,2554
แก้วบัวสาย,สมุทรปราการ,นันทิดา,พรรคพลังประชารัฐ,,นายก อบจ.,2563
เสือสมิง,สมุทรสงคราม,พิสิฐ,พรรคประชาธิปัตย์,,นายก อบจ.,2563
เสือสมิง,สมุทรสงคราม,พิสิฐ,พรรคประชาธิปัตย์,,นายก/รองนายก อบจ.,2555
ไกรวัตนุสสรณ์,สมุทรสาคร,อุดม,พรรคเพื่อไทย,,นายก อบจ.,2563
ไกรวัตนุสสรณ์,สมุทรสาคร,มณฑล,พรรคเพื่อไทย,,นายก/รองนายก อบจ.,2555
